,RK,NAME,TEAM,SALARY,Yr
32,113,"Mike Bibby, PG",Atlanta Hawks,"$6,217,617",2010
33,114,"Jason Kapono, SG",Philadelphia 76ers,"$6,212,960",2010
34,115,"JR Smith, SG",Denver Nuggets,"$6,171,426",2010
35,116,"Jeff Foster, PF",Indiana Pacers,"$6,077,500",2010
36,117,"Chris Duhon, PG",New York Knicks,"$6,031,800",2010
37,118,"DeSagana Diop, C",Charlotte Bobcats,"$6,031,800",2010
38,119,"Brendan Haywood, C",Washington Wizards,"$6,000,000",2010
39,120,"Rasheed Wallace, PF",Boston Celtics,"$5,854,000",2010
0,121,"Metta World Peace, SF",Los Angeles Lakers,"$5,854,000",2010
1,122,"Marcin Gortat, C",Orlando Magic,"$5,854,000",2010
2,123,"Trevor Ariza, SF",Houston Rockets,"$5,854,000",2010
3,124,"LaMarcus Aldridge, PF",Portland Trail Blazers,"$5,844,827",2010
4,125,"Morris Peterson, SG",New Orleans Hornets,"$5,800,000",2010
5,126,"Francisco Garcia, SG",Sacramento Kings,"$5,800,000",2010
6,127,"Raymond Felton, PG",Charlotte Bobcats,"$5,501,196",2010
7,128,"Greg Oden, C",Portland Trail Blazers,"$5,361,240",2010
8,129,"Mickael Pietrus, SF",Orlando Magic,"$5,300,000",2010
9,130,"Adam Morrison, SF",Los Angeles Lakers,"$5,257,229",2010
10,131,"Raja Bell, SG",Charlotte Bobcats,"$5,250,000",2010
11,132,"Speedy Claxton, PG",Atlanta Hawks,"$5,209,454",2010
12,133,"Derrick Rose, PG",Chicago Bulls,"$5,184,480",2010
13,134,"Kyle Korver, SG",Utah Jazz,"$5,163,636",2010
14,135,"Nenad Krstic, C",Oklahoma City Thunder,"$5,160,832",2010
15,136,"Derek Fisher, PG",Los Angeles Lakers,"$5,048,000",2010
16,137,"Sasha Vujacic, SG",Los Angeles Lakers,"$5,000,000",2010
17,138,"Jason Maxiell, PF",Detroit Pistons,"$5,000,000",2010
18,139,"Jarrett Jack, PG",Toronto Raptors,"$5,000,000",2010
19,140,"Nate Robinson, PG",New York Knicks,"$5,000,000",2010
20,141,"Blake Griffin, PF",LA Clippers,"$4,983,480",2010
21,142,"Lou Williams, SG",Philadelphia 76ers,"$4,972,500",2010
22,143,"Reggie Evans, C",Toronto Raptors,"$4,960,000",2010
23,144,"Luke Walton, SF",Los Angeles Lakers,"$4,840,000",2010
24,145,"Kevin Durant, SF",Oklahoma City Thunder,"$4,796,880",2010
25,146,"Zaza Pachulia, C",Atlanta Hawks,"$4,750,000",2010
26,147,"Tyrus Thomas, PF",Charlotte Bobcats,"$4,743,598",2010
27,148,"Matt Carroll, SG",Dallas Mavericks,"$4,700,000",2010
28,149,"Michael Beasley, SF",Miami Heat,"$4,638,600",2010
29,150,"Drew Gooden, PF",Los Angeles Clippers,"$4,580,735",2010
30,151,"Marcus Banks, PG",Toronto Raptors,"$4,553,793",2010
31,152,"Darius Songaila, PF",New Orleans Hornets,"$4,526,000",2010
32,153,"Antonio McDyess, PF",San Antonio Spurs,"$4,500,000",2010
33,154,"Kendrick Perkins, C",Boston Celtics,"$4,500,000",2010
34,155,"Hasheem Thabeet, C",Memphis Grizzlies,"$4,458,840",2010
35,156,"Trenton Hassell, SF",New Jersey Nets,"$4,350,000",2010
36,157,"Martell Webster, SF",Portland Trail Blazers,"$4,344,000",2010
37,158,"James Jones, SG",Miami Heat,"$4,330,000",2010
38,159,"Al Horford, C",Atlanta Hawks,"$4,307,640",2010
39,160,"Delonte West, SG",Cleveland Cavaliers,"$4,254,250",2010
0,1,"Kobe Bryant, SF",Los Angeles Lakers,"$24,806,250",2011
1,2,"Rashard Lewis, PF",Washington Wizards,"$19,573,711",2011
2,3,"Tim Duncan, C",San Antonio Spurs,"$18,835,381",2011
3,4,"Kevin Garnett, PF",Boston Celtics,"$18,832,044",2011
4,5,"Michael Redd, SG",Milwaukee Bucks,"$18,300,000",2011
5,6,"Pau Gasol, C",Los Angeles Lakers,"$17,823,000",2011
6,7,"Andrei Kirilenko, SF",Utah Jazz,"$17,823,000",2011
7,8,"Gilbert Arenas, PG",Washington Wizards,"$17,730,694",2011
8,9,"Yao Ming, C",Houston Rockets,"$17,686,100",2011
9,10,"Zach Randolph, PF",Memphis Grizzlies,"$17,666,666",2011
10,11,"Vince Carter, SG",Phoenix Suns,"$17,522,375",2011
11,12,"Dirk Nowitzki, PF",Dallas Mavericks,"$17,278,618",2011
12,13,"Carmelo Anthony, SF",New York Knicks,"$17,149,243",2011
13,14,"Dwight Howard, C",Orlando Magic,"$16,647,180",2011
14,15,"Kenyon Martin, PF",Denver Nuggets,"$16,545,454",2011
15,16,"Amar'e Stoudemire, C",New York Knicks,"$16,486,611",2011
16,17,"Joe Johnson, SF",Atlanta Hawks,"$16,324,500",2011
17,18,"Elton Brand, PF",Philadelphia 76ers,"$15,959,099",2011
18,19,"Chris Paul, PG",New Orleans Hornets,"$14,940,153",2011
19,20,"Deron Williams, PG",Utah Jazz,"$14,940,153",2011
20,21,"Chris Bosh, PF",Miami Heat,"$14,500,000",2011
21,22,"LeBron James, SF",Miami Heat,"$14,500,000",2011
22,23,"Jason Richardson, SG",Phoenix Suns,"$14,444,443",2011
23,24,"Carlos Boozer, PF",Chicago Bulls,"$14,400,000",2011
24,25,"Dwyane Wade, SG",Miami Heat,"$14,200,000",2011
25,26,"Baron Davis, PG",Los Angeles Clippers,"$14,000,000",2011
26,27,"Paul Pierce, SF",Boston Celtics,"$13,876,321",2011
27,28,"Andrew Bynum, C",Los Angeles Lakers,"$13,700,000",2011
28,29,"Rudy Gay, SF",Memphis Grizzlies,"$13,603,750",2011
29,30,"Brandon Roy, SG",Portland Trail Blazers,"$13,603,750",2011
30,31,"Tony Parker, PG",San Antonio Spurs,"$13,500,000",2011
31,32,"Samuel Dalembert, C",Sacramento Kings,"$13,428,129",2011
32,33,"Antawn Jamison, PF",Cleveland Cavaliers,"$13,358,905",2011
33,34,"Nick Collison, PF",Oklahoma City Thunder,"$13,270,000",2011
34,35,"Chauncey Billups, PG",New York Knicks,"$13,150,000",2011
35,36,"Al Jefferson, C",Utah Jazz,"$13,000,000",2011
36,37,"Tyson Chandler, C",Dallas Mavericks,"$12,600,000",2011
37,38,"Richard Hamilton, SG",Detroit Pistons,"$12,500,000",2011
38,39,"Andre Iguodala, SF",Philadelphia 76ers,"$12,345,250",2011
39,40,"Manu Ginobili, SG",San Antonio Spurs,"$11,854,584",2011
0,41,"Chris Kaman, C",Los Angeles Clippers,"$11,800,000",2011
1,42,"Marcus Camby, C",Portland Trail Blazers,"$11,749,832",2011
2,43,"Josh Smith, C",Atlanta Hawks,"$11,700,000",2011
3,44,"Eddy Curry, C",Miami Heat,"$11,530,592",2011
4,45,"Emeka Okafor, C",New Orleans Hornets,"$11,495,000",2011
5,46,"Nene Hilario, C",Denver Nuggets,"$11,360,000",2011
6,47,"Luol Deng, SF",Chicago Bulls,"$11,345,000",2011
7,48,"LaMarcus Aldridge, PF",Portland Trail Blazers,"$11,244,000",2011
8,49,"Tayshaun Prince, SF",Detroit Pistons,"$11,148,760",2011
9,50,"Monta Ellis, SG",Golden State Warriors,"$11,000,000",2011
10,51,"Andrew Bogut, C",Milwaukee Bucks,"$11,000,000",2011
11,52,"Danny Granger, SF",Indiana Pacers,"$10,973,202",2011
12,53,"David Lee, PF",Golden State Warriors,"$10,800,000",2011
13,54,"Ben Gordon, SG",Detroit Pistons,"$10,800,000",2011
14,55,"Kevin Martin, SG",Houston Rockets,"$10,600,005",2011
15,56,"Mike Dunleavy, SG",Indiana Pacers,"$10,561,984",2011
16,57,"Caron Butler, SF",Dallas Mavericks,"$10,561,960",2011
17,58,"Gerald Wallace, SF",Charlotte Bobcats,"$10,500,000",2011
18,59,"Steve Nash, PG",Phoenix Suns,"$10,310,938",2011
19,60,"Hedo Turkoglu, SF",Phoenix Suns,"$10,215,850",2011
20,61,"Ray Allen, SG",Boston Celtics,"$10,000,000",2011
21,62,"Mehmet Okur, C",Utah Jazz,"$9,945,000",2011
22,63,"Jason Terry, SG",Dallas Mavericks,"$9,873,000",2011
23,64,"Corey Maggette, SF",Milwaukee Bucks,"$9,600,000",2011
24,65,"Cuttino Mobley, SG",LA Clippers,"$9,500,000",2011
25,66,"Mo Williams, PG",Los Angeles Clippers,"$9,300,000",2011
26,67,"Kirk Hinrich, SG",Washington Wizards,"$9,100,000",2011
27,68,"Rajon Rondo, PG",Boston Celtics,"$9,090,911",2011
28,69,"Andris Biedrins, C",Golden State Warriors,"$9,000,000",2011
29,70,"Boris Diaw, C",Charlotte Bobcats,"$9,000,000",2011
30,71,"Jose Calderon, PG",Toronto Raptors,"$9,000,000",2011
31,72,"Devin Harris, PG",Utah Jazz,"$8,981,000",2011
32,73,"Jason Kidd, PG",Dallas Mavericks,"$8,610,500",2011
33,74,"Andrea Bargnani, C",Toronto Raptors,"$8,500,000",2011
34,75,"T.J. Ford, PG",Indiana Pacers,"$8,500,000",2011
35,76,"Stephen Jackson, SF",Charlotte Bobcats,"$8,453,250",2011
36,77,"Richard Jefferson, SF",San Antonio Spurs,"$8,400,000",2011
37,78,"David West, PF",New Orleans Hornets,"$8,287,500",2011
38,79,"Lamar Odom, PF",Los Angeles Lakers,"$8,200,000",2011
39,80,"John Salmons, SF",Milwaukee Bucks,"$8,000,000",2011
0,81,"Mark Blount, C",Miami Heat,"$7,967,375",2011
1,82,"Jameer Nelson, PG",Orlando Magic,"$7,800,000",2011
2,83,"Luis Scola, PF",Houston Rockets,"$7,775,378",2011
3,84,"Joel Przybilla, C",Charlotte Bobcats,"$7,725,470",2011
4,85,"Paul Millsap, PF",Utah Jazz,"$7,600,000",2011
5,86,"Shane Battier, SF",Memphis Grizzlies,"$7,354,500",2011
6,87,"Anderson Varejao, C",Cleveland Cavaliers,"$7,281,818",2011
7,88,"Andre Miller, PG",Portland Trail Blazers,"$7,269,264",2011
8,89,"Marvin Williams, PF",Atlanta Hawks,"$7,262,500",2011
9,90,"JJ Redick, SG",Orlando Magic,"$7,250,000",2011
10,91,"Dan Gadzuric, C",New Jersey Nets,"$7,248,325",2011
11,92,"James Posey, SF",Indiana Pacers,"$7,148,800",2011
12,93,"Leandro Barbosa, SG",Toronto Raptors,"$7,100,000",2011
13,94,"Marko Jaric, PG",Brooklyn Nets,"$7,100,000",2011
14,95,"Shawn Marion, SG",Dallas Mavericks,"$7,055,500",2011
15,96,"Charlie Villanueva, PF",Detroit Pistons,"$7,020,000",2011
16,97,"Travis Outlaw, SF",New Jersey Nets,"$7,000,000",2011
17,98,"Raymond Felton, PG",New York Knicks,"$7,000,000",2011
18,99,"Brendan Haywood, C",Dallas Mavericks,"$6,900,000",2011
19,100,"Nazr Mohammed, C",Charlotte Bobcats,"$6,883,800",2011
20,101,"Vladimir Radmanovic, SF",Golden State Warriors,"$6,883,800",2011
21,102,"Andres Nocioni, SF",Philadelphia 76ers,"$6,850,000",2011
22,103,"Greg Oden, C",Miami Heat,"$6,760,524",2011
23,104,"JR Smith, SG",Denver Nuggets,"$6,757,851",2011
24,105,"Kendrick Perkins, C",Oklahoma City Thunder,"$6,696,720",2011
25,106,"Morris Peterson, SG",Oklahoma City Thunder,"$6,665,000",2011
26,107,"Jeff Foster, PF",Indiana Pacers,"$6,655,000",2011
27,108,"Jason Kapono, SG",Philadelphia 76ers,"$6,641,440",2011
28,109,"Tyrus Thomas, PF",Charlotte Bobcats,"$6,611,570",2011
29,110,"Jerome James, C",Chicago Bulls,"$6,600,000",2011
30,111,"Josh Childress, SF",Phoenix Suns,"$6,500,000",2011
31,112,"Beno Udrih, PG",Sacramento Kings,"$6,478,600",2011
32,113,"DeSagana Diop, C",Charlotte Bobcats,"$6,478,600",2011
33,114,"Mike James, PG",Chicago Bulls,"$6,466,600",2011
34,115,"Rasheed Wallace, PF",New York Knicks,"$6,322,320",2011
35,116,"Marcin Gortat, C",Phoenix Suns,"$6,322,320",2011
36,117,"Trevor Ariza, SF",New Orleans Hornets,"$6,322,320",2011
37,118,"Kevin Durant, SF",Oklahoma City Thunder,"$6,053,663",2011
38,119,"Andray Blatche, C",Washington Wizards,"$5,904,152",2011
39,120,"Al Harrington, PF",Denver Nuggets,"$5,765,000",2011
0,121,"Drew Gooden, PF",Milwaukee Bucks,"$5,765,000",2011
1,122,"Jermaine O'Neal, C",Boston Celtics,"$5,765,000",2011
2,123,"Wesley Matthews, SG",Portland Trail Blazers,"$5,765,000",2011
3,124,"Kyle Lowry, PG",Houston Rockets,"$5,750,000",2011
4,125,"Derrick Rose, PG",Chicago Bulls,"$5,546,160",2011
5,126,"Nenad Krstic, C",Oklahoma City Thunder,"$5,543,116",2011
6,127,"Francisco Garcia, SG",Sacramento Kings,"$5,500,000",2011
7,128,"Sasha Vujacic, SG",New Jersey Nets,"$5,475,113",2011
8,129,"Al Horford, C",Atlanta Hawks,"$5,444,857",2011
9,130,"Blake Griffin, PF",Los Angeles Clippers,"$5,357,280",2011
10,131,"Mickael Pietrus, SF",Phoenix Suns,"$5,300,000",2011
11,132,"Luke Walton, SF",Los Angeles Lakers,"$5,260,000",2011
12,133,"Speedy Claxton, PG",Atlanta Hawks,"$5,209,454",2011
13,134,"Channing Frye, PF",Phoenix Suns,"$5,200,000",2011
14,135,"John Wall, PG",Washington Wizards,"$5,144,280",2011
15,136,"Reggie Evans, C",Toronto Raptors,"$5,080,000",2011
16,137,"Jason Maxiell, PF",Detroit Pistons,"$5,000,000",2011
17,138,"Amir Johnson, PF",Toronto Raptors,"$5,000,000",2011
18,139,"Linas Kleiza, SF",Toronto Raptors,"$4,995,000",2011
19,140,"Michael Beasley, SF",Minnesota Timberwolves,"$4,962,240",2011
20,141,"Mike Conley, PG",Memphis Grizzlies,"$4,913,077",2011
21,142,"Antonio McDyess, PF",San Antonio Spurs,"$4,860,000",2011
22,143,"Marcus Banks, PG",Toronto Raptors,"$4,847,586",2011
23,144,"Darius Songaila, PF",Philadelphia 76ers,"$4,818,000",2011
24,145,"Martell Webster, SF",Minnesota Timberwolves,"$4,800,000",2011
25,146,"Hasheem Thabeet, C",Memphis Grizzlies,"$4,793,280",2011
26,147,"Ronnie Brewer, SF",Chicago Bulls,"$4,790,000",2011
27,148,"Evan Turner, SG",Philadelphia 76ers,"$4,602,720",2011
28,149,"Jarrett Jack, PG",Toronto Raptors,"$4,600,000",2011
29,150,"Chris Andersen, PF",Denver Nuggets,"$4,533,300",2011
30,151,"O.J. Mayo, SG",Memphis Grizzlies,"$4,456,200",2011
31,152,"Jeff Green, SF",Oklahoma City Thunder,"$4,455,988",2011
32,153,"Charlie Bell, SG",Golden State Warriors,"$4,447,792",2011
33,154,"Brad Miller, C",Houston Rockets,"$4,400,000",2011
34,155,"Darko Milicic, C",Minnesota Timberwolves,"$4,325,000",2011
35,156,"James Harden, SG",Oklahoma City Thunder,"$4,304,520",2011
36,157,"Matt Carroll, SG",Charlotte Bobcats,"$4,300,000",2011
37,158,"Nikola Pekovic, C",Minnesota Timberwolves,"$4,275,000",2011
38,159,"Zaza Pachulia, C",Atlanta Hawks,"$4,251,250",2011
39,160,"Hakim Warrick, PF",Phoenix Suns,"$4,250,000",2011
0,1,"Kobe Bryant, SF",Los Angeles Lakers,"$25,244,493",2012
1,2,"Kevin Garnett, PF",Boston Celtics,"$21,247,044",2012
2,3,"Tim Duncan, C",San Antonio Spurs,"$21,164,619",2012
3,4,"Rashard Lewis, PF",Washington Wizards,"$21,136,631",2012
4,5,"Dirk Nowitzki, PF",Dallas Mavericks,"$19,092,873",2012
5,6,"Pau Gasol, C",Los Angeles Lakers,"$18,714,150",2012
6,7,"Carmelo Anthony, SF",New York Knicks,"$18,518,574",2012
7,8,"Amar'e Stoudemire, C",New York Knicks,"$18,217,705",2012
8,9,"Elton Brand, PF",Philadelphia 76ers,"$18,160,355",2012
9,10,"Dwight Howard, C",Orlando Magic,"$18,091,770",2012
10,11,"Joe Johnson, SF",Atlanta Hawks,"$18,038,573",2012
11,12,"Andrei Kirilenko, SF",Philadelphia 76ers,"$17,823,000",2012
12,13,"Chris Bosh, PF",Miami Heat,"$17,545,000",2012
13,14,"LeBron James, SF",Miami Heat,"$17,545,000",2012
14,15,"Chris Paul, PG",Los Angeles Clippers,"$16,359,805",2012
15,16,"Deron Williams, PG",New Jersey Nets,"$16,359,805",2012
16,17,"Dwyane Wade, SG",Miami Heat,"$15,691,000",2012
17,18,"Kevin Durant, SF",Oklahoma City Thunder,"$15,506,632",2012
18,19,"Paul Pierce, SF",Boston Celtics,"$15,333,334",2012
19,20,"Zach Randolph, PF",Memphis Grizzlies,"$15,200,000",2012
20,21,"Antawn Jamison, PF",Cleveland Cavaliers,"$15,076,715",2012
21,22,"Rudy Gay, SF",Memphis Grizzlies,"$15,032,144",2012
22,23,"Brandon Roy, SG",Minnesota Timberwolves,"$15,032,144",2012
23,24,"Al Jefferson, C",Utah Jazz,"$15,000,000",2012
24,25,"Andrew Bynum, C",Los Angeles Lakers,"$14,900,000",2012
25,26,"Andre Iguodala, SF",Philadelphia 76ers,"$14,718,250",2012
26,27,"Manu Ginobili, SG",San Antonio Spurs,"$14,107,492",2012
27,28,"Chris Kaman, C",New Orleans Hornets,"$14,030,000",2012
28,29,"LaMarcus Aldridge, PF",Portland Trail Blazers,"$14,000,000",2012
29,30,"Carlos Boozer, PF",Chicago Bulls,"$13,500,000",2012
30,31,"Tyson Chandler, C",New York Knicks,"$13,107,837",2012
31,32,"Nene Hilario, C",Washington Wizards,"$13,000,000",2012
32,33,"Marc Gasol, C",Memphis Grizzlies,"$12,922,194",2012
33,34,"Emeka Okafor, C",New Orleans Hornets,"$12,642,500",2012
34,35,"Tony Parker, PG",San Antonio Spurs,"$12,500,000",2012
35,36,"Al Horford, C",Atlanta Hawks,"$12,498,483",2012
36,37,"Josh Smith, C",Atlanta Hawks,"$12,400,000",2012
37,38,"Luol Deng, SF",Chicago Bulls,"$12,325,000",2012
38,39,"Danny Granger, SF",Indiana Pacers,"$12,015,904",2012
39,40,"Joakim Noah, C",Chicago Bulls,"$12,000,000",2012
0,41,"Andrew Bogut, C",Milwaukee Bucks,"$12,000,000",2012
1,42,"Steve Nash, PG",Phoenix Suns,"$11,689,062",2012
2,43,"David Lee, PF",Golden State Warriors,"$11,610,000",2012
3,44,"Ben Gordon, SG",Detroit Pistons,"$11,600,000",2012
4,45,"Kevin Martin, SG",Houston Rockets,"$11,519,840",2012
5,46,"Marcus Camby, C",Portland Trail Blazers,"$11,227,250",2012
6,47,"Jason Terry, SG",Dallas Mavericks,"$11,158,000",2012
7,48,"Hedo Turkoglu, SF",Orlando Magic,"$11,015,850",2012
8,49,"Monta Ellis, SG",Milwaukee Bucks,"$11,000,000",2012
9,50,"Mehmet Okur, C",New Jersey Nets,"$10,890,000",2012
10,51,"Jose Calderon, PG",Toronto Raptors,"$10,561,982",2012
11,52,"Corey Maggette, SF",Charlotte Bobcats,"$10,262,069",2012
12,53,"Jason Kidd, PG",Dallas Mavericks,"$10,121,000",2012
13,54,"DeAndre Jordan, C",Los Angeles Clippers,"$10,079,404",2012
14,55,"Rajon Rondo, PG",Boston Celtics,"$10,045,454",2012
15,56,"Ray Allen, SG",Boston Celtics,"$10,000,000",2012
16,57,"Andrea Bargnani, C",Toronto Raptors,"$10,000,000",2012
17,58,"David West, PF",Indiana Pacers,"$10,000,000",2012
18,59,"Gerald Wallace, SF",Portland Trail Blazers,"$9,500,000",2012
19,60,"Cuttino Mobley, SG",LA Clippers,"$9,500,000",2012
20,61,"Devin Harris, PG",Utah Jazz,"$9,319,000",2012
21,62,"Richard Jefferson, SF",San Antonio Spurs,"$9,282,000",2012
22,63,"Andris Biedrins, C",Golden State Warriors,"$9,000,000",2012
23,64,"Lamar Odom, PF",Dallas Mavericks,"$8,900,000",2012
24,65,"Paul Millsap, PF",Utah Jazz,"$8,603,633",2012
25,66,"Jameer Nelson, PG",Orlando Magic,"$8,600,000",2012
26,67,"Luis Scola, PF",Houston Rockets,"$8,591,793",2012
27,68,"Carl Landry, PF",New Orleans Hornets,"$8,500,000",2012
28,69,"Rodney Stuckey, PG",Detroit Pistons,"$8,500,000",2012
29,70,"Mo Williams, PG",Los Angeles Clippers,"$8,500,000",2012
30,71,"John Salmons, SF",Sacramento Kings,"$8,083,000",2012
31,72,"Thaddeus Young, PF",Philadelphia 76ers,"$8,039,130",2012
32,73,"Shawn Marion, SG",Dallas Mavericks,"$8,022,449",2012
33,74,"Caron Butler, SF",Los Angeles Clippers,"$8,000,000",2012
34,75,"Kris Humphries, PF",New Jersey Nets,"$8,000,000",2012
35,76,"Kirk Hinrich, SG",Atlanta Hawks,"$8,000,000",2012
36,77,"Mark Blount, C",Miami Heat,"$7,967,375",2012
37,78,"Andre Miller, PG",Denver Nuggets,"$7,807,728",2012
38,79,"Arron Afflalo, SG",Denver Nuggets,"$7,750,000",2012
39,80,"Anderson Varejao, C",Cleveland Cavaliers,"$7,700,000",2012
0,81,"Brendan Haywood, C",Dallas Mavericks,"$7,624,500",2012
1,82,"Leandro Barbosa, SG",Toronto Raptors,"$7,600,000",2012
2,83,"James Posey, SF",Indiana Pacers,"$7,595,600",2012
3,84,"Raymond Felton, PG",Portland Trail Blazers,"$7,560,000",2012
4,85,"Charlie Villanueva, PF",Detroit Pistons,"$7,540,000",2012
5,86,"Marcus Thornton, SG",Sacramento Kings,"$7,525,000",2012
6,87,"Marvin Williams, PF",Atlanta Hawks,"$7,500,000",2012
7,88,"Tyrus Thomas, PF",Charlotte Bobcats,"$7,305,785",2012
8,89,"Marcin Gortat, C",Phoenix Suns,"$7,258,960",2012
9,90,"Kendrick Perkins, C",Oklahoma City Thunder,"$7,123,626",2012
10,91,"Marko Jaric, PG",Brooklyn Nets,"$7,100,000",2012
11,92,"Samuel Dalembert, C",Houston Rockets,"$7,000,000",2012
12,93,"Derrick Rose, PG",Chicago Bulls,"$6,993,708",2012
13,94,"Beno Udrih, PG",Milwaukee Bucks,"$6,925,400",2012
14,95,"DeSagana Diop, C",Charlotte Bobcats,"$6,925,400",2012
15,96,"Metta World Peace, SF",Los Angeles Lakers,"$6,790,640",2012
16,97,"Trevor Ariza, SF",New Orleans Hornets,"$6,790,640",2012
17,98,"Kwame Brown, C",Golden State Warriors,"$6,750,000",2012
18,99,"JJ Redick, SG",Orlando Magic,"$6,750,000",2012
19,100,"Morris Peterson, SG",Oklahoma City Thunder,"$6,665,000",2012
20,101,"Andres Nocioni, SF",Philadelphia 76ers,"$6,650,000",2012
21,102,"Mike Conley, PG",Memphis Grizzlies,"$6,611,571",2012
22,103,"Jerome James, C",Chicago Bulls,"$6,600,000",2012
23,104,"Wesley Matthews, SG",Portland Trail Blazers,"$6,505,320",2012
24,105,"Grant Hill, SF",Phoenix Suns,"$6,500,000",2012
25,106,"Josh Childress, SF",Phoenix Suns,"$6,500,000",2012
26,107,"Andray Blatche, C",Washington Wizards,"$6,442,083",2012
27,108,"Rasheed Wallace, PF",New York Knicks,"$6,322,320",2012
28,109,"Glen Davis, PF",Orlando Magic,"$6,300,000",2012
29,110,"Tayshaun Prince, SF",Detroit Pistons,"$6,292,135",2012
30,111,"Michael Beasley, SF",Minnesota Timberwolves,"$6,262,347",2012
31,112,"Drew Gooden, PF",Milwaukee Bucks,"$6,226,200",2012
32,113,"Al Harrington, PF",Denver Nuggets,"$6,226,200",2012
33,114,"Jermaine O'Neal, C",Boston Celtics,"$6,226,200",2012
34,115,"Francisco Garcia, SG",Sacramento Kings,"$6,100,000",2012
35,116,"Channing Frye, PF",Phoenix Suns,"$6,000,000",2012
36,117,"Amir Johnson, PF",Toronto Raptors,"$6,000,000",2012
37,118,"Luke Walton, SF",Los Angeles Lakers,"$5,971,363",2012
38,119,"Kyle Lowry, PG",Houston Rockets,"$5,750,000",2012
39,120,"Blake Griffin, PF",Los Angeles Clippers,"$5,731,080",2012
0,121,"O.J. Mayo, SG",Memphis Grizzlies,"$5,632,637",2012
1,122,"Nenad Krstic, C",Bilbao Basket Bilbao Basket,"$5,543,116",2012
2,123,"John Wall, PG",Washington Wizards,"$5,530,080",2012
3,124,"Wilson Chandler, SF",Denver Nuggets,"$5,516,664",2012
4,125,"Chuck Hayes, PF",Sacramento Kings,"$5,486,250",2012
5,126,"Sasha Vujacic, SG",New York Knicks,"$5,475,113",2012
6,127,"Mike Miller, SG",Miami Heat,"$5,400,000",2012
7,128,"Jason Richardson, SG",Orlando Magic,"$5,395,000",2012
8,129,"Evan Turner, SG",Philadelphia 76ers,"$5,293,080",2012
9,130,"Martell Webster, SF",Minnesota Timberwolves,"$5,256,000",2012
10,131,"Tyreke Evans, SG",Sacramento Kings,"$5,251,825",2012
11,132,"Antonio McDyess, PF",San Antonio Spurs,"$5,220,000",2012
12,133,"Speedy Claxton, PG",Atlanta Hawks,"$5,209,454",2012
13,134,"Lou Williams, SG",Philadelphia 76ers,"$5,176,000",2012
14,135,"Kyrie Irving, PG",Cleveland Cavaliers,"$5,144,280",2012
15,136,"Hasheem Thabeet, C",Portland Trail Blazers,"$5,127,720",2012
16,137,"Russell Westbrook, PG",Oklahoma City Thunder,"$5,082,416",2012
17,138,"Jamal Crawford, SG",Portland Trail Blazers,"$5,000,000",2012
18,139,"Luc Mbah a Moute, PF",Milwaukee Bucks,"$5,000,000",2012
19,140,"Kyle Korver, SG",Chicago Bulls,"$5,000,000",2012
20,141,"Jason Maxiell, PF",Detroit Pistons,"$5,000,000",2012
21,142,"Jarrett Jack, PG",New Orleans Hornets,"$5,000,000",2012
22,143,"Marcus Banks, PG",New Orleans Pelicans,"$4,847,586",2012
23,144,"Darius Songaila, PF",Philadelphia 76ers,"$4,818,000",2012
24,145,"Darko Milicic, C",Minnesota Timberwolves,"$4,776,500",2012
25,146,"Derrick Favors, PF",Utah Jazz,"$4,753,320",2012
26,147,"Brad Miller, C",Minnesota Timberwolves,"$4,752,000",2012
27,148,"Zaza Pachulia, C",Atlanta Hawks,"$4,750,000",2012
28,149,"Ronnie Brewer, SF",Chicago Bulls,"$4,710,000",2012
29,150,"Kevin Love, PF",Minnesota Timberwolves,"$4,609,701",2012
30,151,"James Harden, SG",Oklahoma City Thunder,"$4,604,760",2012
31,152,"Derrick Williams, PF",Minnesota Timberwolves,"$4,602,720",2012
32,153,"Linas Kleiza, SF",Toronto Raptors,"$4,600,000",2012
33,154,"Nikola Pekovic, C",Minnesota Timberwolves,"$4,503,600",2012
34,155,"Jonas Jerebko, PF",Detroit Pistons,"$4,500,000",2012
35,156,"Jeff Green, SF",Orlando Magic,"$4,455,988",2012
36,157,"Daniel Gibson, SG",Cleveland Cavaliers,"$4,403,834",2012
37,158,"Enes Kanter, C",Utah Jazz,"$4,319,280",2012
38,159,"J.J. Barea, PG",Minnesota Timberwolves,"$4,300,000",2012
39,160,"Ramon Sessions, PG",Los Angeles Lakers,"$4,257,973",2012
0,1,"Kobe Bryant, SF",Los Angeles Lakers,"$30,453,805",2013
1,2,"Dirk Nowitzki, PF",Dallas Mavericks,"$20,907,128",2013
2,3,"Amar'e Stoudemire, C",New York Knicks,"$19,948,799",2013
3,4,"Joe Johnson, SF",Brooklyn Nets,"$19,752,645",2013
4,5,"Carmelo Anthony, SF",New York Knicks,"$19,444,503",2013
5,6,"Pau Gasol, C",Los Angeles Lakers,"$19,285,850",2013
6,7,"Chris Bosh, PF",Miami Heat,"$19,067,500",2013
7,8,"LeBron James, SF",Miami Heat,"$19,067,500",2013
8,9,"Dwyane Wade, SG",Miami Heat,"$18,673,000",2013
9,10,"Chris Paul, PG",Los Angeles Clippers,"$18,668,431",2013
10,11,"Kevin Durant, SF",Oklahoma City Thunder,"$17,832,626",2013
11,12,"Derrick Rose, PG",Chicago Bulls,"$17,632,688",2013
